,0
Waters,1
Nile,1
Scale,1
Cheerfully,1
Seems,5
Grin,6
Neatly,2
Spread,3
Claws,2
Welcome,1
Fishes,1
Gently,3
Smiling,2
Jaws,2
Live,8
Poky,1
Toys,1
Play,8
Learn,7
Stay,5
Putting,3
Being,19
Till,21
Sudden,5
Burst,1
Alone,4
Done,15
Measure,1
Nearly,11
Guess,3
Shrinking,4
Rapidly,2
Cause,2
Avoid,1
Narrow,2
Escape,4
Frightened,7
Change,14
Existence,1
Speed,1
Worse,3
Declare,2
Bad,2
These,14
Foot,9
Slipped,3
Splash,1
Chin,7
Salt,2
Water,5
Somehow,1
Sea,14
Case,5
Railway,2
Seaside,1
General,3
Conclusion,2
Wherever,2
Coast,1
Number,5
Bathing,1
Machines,1
Digging,4
Sand,1
Wooden,1
Spades,1
Lodging,1
Houses,1
Station,1
Wept,1
Hadn,8
Swam,5
Punished,1
Suppose,14
Drowned,1
Something,18
Splashing,2
Nearer,5
Walrus,1
Hippopotamus,1
Talk,14
Harm,1
O,6
Swimming,2
Speaking,5
Brother,1
Latin,1
Grammar,1
Inquisitively,1
Wink,2
Understand,6
Daresay,1
French,4
William,8
Conqueror,2
History,7
Clear,2
Notion,3
Ago,2
Oã¹,1
Est,1
Chatte,1
Sentence,6
Lesson,3
Leap,1
Quiver,1
Fright,2
Beg,8
Pardon,6
Animal,2
Feelings,2
Shrill,5
Passionate,1
Soothing,1
Tone,40
Angry,5
Yet,25
Show,3
Our,7
D,29
Quiet,2
Lazily,1
Sits,1
Purring,2
Nicely,2
Fire,4
Licking,1
Paws,4
Washing,3
Soft,1
Nurse,3
Catching,2
Bristling,1
Offended,10
We,33
Trembling,6
Subject,6
Family,1
Always,13
Hated,1
Nasty,1
Vulgar,1
Conversation,9
Dogs,3
Eagerly,8
Dog,3
Eyed,1
Terrier,1
Curly,1
Brown,2
Fetch,7
Throw,3
Sit,8
Dinner,2
Belongs,2
Farmer,1
Says,4
Useful,2
Hundred,1
Pounds,1
Kills,1
Rats,1
Sorrowful,2
Commotion,1
Called,15
Softly,1
Pale,4
Passion,3
Us,13
Shore,4
Hate,2
Crowded,5
Birds,10
Animals,4
Duck,4
Dodo,13
Lory,7
Eaglet,3
Creatures,10
Whole,12
Party,9
Looking,32
Assembled,2
Draggled,1
Feathers,1
Fur,3
Clinging,1
Dripping,1
Wet,2
Cross,3
Uncomfortable,4
Course,26
Consultation,1
Familiarly,1
Known,1
Argument,4
Last,33
Sulky,3
Older,2
Better,14
Allow,3
Knowing,2
Old,18
Positively,1
Refused,1
Authority,2
Ring,2
Fixed,1
Cold,1
Ahem,1
Important,7
Driest,1
Silence,14
Whose,2
Favoured,1
Pope,1
Submitted,1
Wanted,4
Leaders,1
Accustomed,1
Usurpation,1
Conquest,1
Edwin,2
Morcar,2
Earls,2
Mercia,2
Northumbria,2
Ugh,2
Shiver,1
Frowning,4
Politely,6
Proceed,2
Declared,1
Him,43
Stigand,1
Patriotic,1
Archbishop,2
Canterbury,1
Advisable,2
Replied,29
Crossly,1
Means,5
Frog,3
Worm,1
Notice,5
Hurriedly,2
Edgar,1
Atheling,1
Meet,2
Offer,2
Crown,3
Conduct,1
Moderate,1
Insolence,1
Normans,1
Continued,9
Turning,12
Melancholy,6
Solemnly,4
Rising,1
Move,3
Meeting,1
Adjourn,1
Immediate,1
Adoption,1
Energetic,1
Remedies,1
Meaning,8
Believe,9
Bent,1
Hide,1
Smile,2
Tittered,1
Audibly,1
Caucus,2
Race,5
Paused,1
Inclined,1
Explain,10
Winter,1
Circle,1
Exact,1
Shape,1
Placed,1
Running,8
Liked,6
Easy,2
Hour,2
Panting,2
Has,7
Pressed,3
Forehead,2
Position,2
Shakespeare,1
Rest,10
Everybody,8
Prizes,5
Chorus,6
Voices,3
Asked,17
Pointing,4
Calling,1
Confused,4
Despair,1
Pulled,1
Comfits,2
Luckily,2
Handed,3
Exactly,8
Piece,6
Prize,1
Gravely,3
Thimble,4
Presented,1
Acceptance,1
Elegant,1
Short,4
Speech,3
Cheered,3
Absurd,2
Grave,3
Dare,5
Laugh,1
Simply,3
Bowed,4
Solemn,3
Caused,2
Noise,3
Confusion,5
Complained,1
Theirs,1
Ones,1
Choked,3
Patted,1
Begged,1
Promised,1
C,1
Added,23
Whisper,3
Sad,3
Tale,3
Sighing,3
Call,9
Attending,3
Humbly,2
Fifth,1
Bend,2
Angrily,9
Knot,2
Undo,1
Insult,1
Mean,10
Pleaded,3
Easily,3
Growled,1
Reply,5
Finish,5
Story,7
Others,7
Joined,3
Shook,9
Impatiently,5
Quicker,1
Pity,3
Sighed,5
Crab,3
Daughter,1
Lose,1
Temper,5
Tongue,4
Young,5
Snappishly,1
Patience,1
Oyster,1
Addressing,1
Nobody,8
Particular,4
Venture,3
Pet,1
Bird,2
Sensation,2
Magpie,1
Wrapping,1
Carefully,3
Remarking,3
Suit,3
Throat,2
Canary,1
Bed,1
Various,1
Pretexts,1
Moved,5
Mentioned,3
Lonely,2
Spirited,1
Footsteps,2
Executed,6
Ferrets,2
Where,15
Guessed,3
Naturedly,1
Hunting,3
Nowhere,2
Since,4
Swim,5
Vanished,4
Completely,1
Mary,4
Ann,4
Doing,5
Run,4
Quick,2
Direction,5
Pointed,1
Mistake,3
Housemaid,1
Finds,1
Neat,1
Brass,1
Plate,3
W,1
Engraved,1
Knocking,3
Upstairs,1
Lest,1
Real,3
Messages,2
Fancying,1
Directly,2
Ordering,2
Tidy,1
Room,13
Window,8
Hoped,1
Pairs,1
Stood,7
Nevertheless,1
Uncorked,1
Lips,1
Interesting,5
Whenever,1
Does,9
Expected,1
Drunk,2
Pressing,1
Ceiling,1
Stoop,2
Save,1
Broken,6
Kneel,1
Floor,3
Effect,3
Elbow,3
Arm,15
Curled,2
Resource,1
Chimney,6
Whatever,3
Become,5
Magic,1
Full,6
Grew,1
Chance,4
Unhappy,2
Pleasanter,1
Wasn,11
Ordered,4
Rabbits,1
Gone,13
Fairy,1
Tales,1
Fancied,2
Write,6
Grown,7
Least,9
Comfort,1
Woman,2
Shouldn,5
Foolish,1
Answered,4
Books,2
Taking,5
Outside,4
Stopped,3
Trembled,2
Forgetting,3
Reason,9
Inwards,1
Attempt,1
Proved,2
Failure,1
Snatch,2
Shriek,5
Crash,3
Concluded,2
Possible,1
Cucumber,2
Frame,1
Pat,3
Apples,2
Yer,4
Honour,4
Sounds,4
Pronounced,1
Arrum,1
Goose,2
Fills,1
Business,7
Whispers,1
Coward,1
Shrieks,1
Frames,1
Pulling,1
Hearing,4
Rumbling,1
Cartwheels,1
Together,9
Ladder,1
Bill,16
Lad,1
Em,3
Tie,1
Rope,1
Bear,2
Loose,1
Slate,4
Below,3
Loud,6
Nay,1
Master,4
Shy,1
Place,8
Fireplace,1
Kick,3
Drew,5
Scratching,1
Scrambling,1
Above,3
Sharp,6
Brandy,1
Choke,1
Fellow,4
Feeble,2
Squeaking,2
Thank,4
Ye,1
Flustered,1
Comes,2
Jack,1
Sky,5
Rocket,1
Dead,4
Instantly,5
Sense,3
Moving,3
Barrowful,2
Doubt,4
Shower,2
Pebbles,2
Rattling,2
Hit,2
Shouted,9
Produced,1
Surprise,5
Cakes,3
Lay,4
Swallowed,1
Delighted,2
Crowd,4
Lizard,6
Held,4
Guinea,6
Pigs,6
Giving,2
Rush,2
Appeared,8
Safe,2
Thick,1
Wood,8
Wandered,2
Plan,4
Excellent,2
Arranged,1
Difficulty,4
Smallest,2
Peering,1
Trees,7
Bark,2
Enormous,1
Puppy,7
Feebly,1
Stretching,2
Paw,3
Touch,1
Coaxing,2
Whistle,1
Terribly,1
Hungry,3
Spite,1
Picked,3
Stick,4
Whereupon,1
Yelp,1
Rushed,1
Worry,1
Dodged,1
Thistle,2
Keep,11
Tumbled,1
Heels,1
Cart,1
Horse,1
Trampled,1
Series,1
Charges,1
Forwards,1
Each,8
Barking,1
Hoarsely,1
Mouth,10
Breath,3
Faint,1
Leant,1
Buttercup,1
Fanned,1
Teaching,1
Tricks,1
Blades,1
Grass,4
Circumstances,1
Mushroom,8
Height,5
Both,13
Stretched,2
Tiptoe,2
Edge,3
Immediately,3
Met,2
Blue,1
Caterpillar,27
Arms,6
Folded,3
Quietly,5
Smoking,2
Hookah,5
Addressed,2
Languid,1
Encouraging,2
Shyly,1
Present,3
Sternly,1
Clearly,1
Sizes,1
Confusing,3
Isn,7
Haven,8
Turn,11
Chrysalis,1
Butterfly,1
May,13
Contemptuously,2
Brought,3
Irritated,1
Remarks,3
State,1
Promising,1
Swallowing,1
Anger,2
Wait,1
Puffed,1
Unfolded,2
Busy,2
Bee,1
Father,6
Man,5
Incessantly,1
Stand,6
Youth,6
Son,1
Feared,1
Injure,1
Brain,1
Perfectly,4
None,4
Most,8
Uncommonly,1
Fat,1
Somersault,2
Pray,3
Sage,1
Grey,1
Limbs,1
Supple,1
Ointment,1
Shilling,1
Sell,2
Couple,1
Weak,2
Tougher,1
Suet,1
Bones,1
Beak,1
Law,1
Argued,1
Wife,1
Muscular,1
Strength,1
Jaw,1
Lasted,2
Steady,1
Balanced,1
Eel,2
Nose,8
Awfully,1
Clever,2
Questions,4
Airs,1
Stuff,4
Timidly,9
Altered,1
Decidedly,4
Changing,2
Often,5
Contradicted,1
