Grass,noun," plants that have narrow green leaves, that are eaten by cows, sheep, horses, etc., and that are commonly grown on lawns and in gardens"
Forward,adverb, toward the front  to or toward what is ahead or in front
Dinner,noun, the main meal of the day
Deep,adjective, having a large distance to the bottom from the surface or highest point
Continue,verb, to do something without stopping  to keep doing something in the same way as before
Certain,adjective, not having any doubt about something  convinced or sure
Boy,noun, a male child
Wait,verb," to stay in a place until an expected event happens, until someone arrives, until it is your turn to do something, etc."
Surprise,noun," an unexpected event, piece of information, etc."
Suppose,verb, to think of (something) as happening or being true in order to imagine what might happen
Somewhere,adverb," in, at, or to a place not known, named, or specified"
Shadow,noun, a dark shape that appears on a surface when someone or something moves between the surface and a source of light
Remark,noun, something that someone says or writes to express an opinion or idea
Raise,verb, to lift or move (something or someone) to a higher position
Perhaps,adverb, possibly but not certainly
Nose,noun, the part of the face or head through which a person or animal smells and breathes
Movement,noun, the act or process of moving people or things from one place or position to another
Mine,pronoun, that which belongs to me  my one  my ones
Laughter,noun, the action or sound of laughing
Lady,noun, a woman who behaves in a polite way
Kind,noun, a group of people or things that belong together or have some shared quality  a particular type or variety of person or thing
Killed,verb," to cause the death of (a person, animal, or plant)  to end the life of (someone or something)"
Haven,noun," a place where you are protected from danger, trouble, etc."
Happen,verb, to take place especially without being planned
Forever,adverb, for an endless time  for all time
Faces,noun," the front part of the head that has the eyes, nose, and mouth on it"
Drink,verb, to take a liquid into your mouth and swallow it
Dead,adjective, no longer alive or living  no longer having life
Curious,adjective, having a desire to learn or know more about something or someone
Crowd,verb, to fill (something) so that there is little or no room for anyone or anything else  to take up much or most of the space in (an area or space)
Crazy,adjective, not sane: such as
Wet,adjective, covered or soaked with water or another liquid  not dry
Warm,adjective, somewhat hot  not cool or cold
Wall,noun," a structure of brick, stone, etc., that surrounds an area or separates one area from another"
Voices,noun," the sounds that you make with your mouth and throat when you are speaking, singing, etc."
Tea,noun, a drink that is made by soaking the dried leaves of an Asian plant in hot water
Sit,verb," to be in a position in which your bottom is resting on a chair, the ground, etc., especially with your back upright"
Silver,noun," a soft grayish-white metal that is very valuable and is used to make jewelry, coins, knives, forks, etc."
Sick,adjective, affected with a disease or illness
Saying,noun, an old and well-known phrase that expresses an idea that most people believe is true
Rest,noun," the part that is left when other people or things are gone, used, etc."
Repeated,adjective," said, done, or happening again and again"
Mind,noun," the part of a person that thinks, reasons, feels, and remembers"
Lose,verb, to be unable to find (something or someone)
Live,verb, to be alive
Lip,noun, either one of the two soft parts that surround the mouth
Leave,verb, to go away from (a place)
Glad,adjective," feeling pleasure, joy, or delight"
Flower,noun," the part of a plant that is often brightly colored, that usually lasts a short time, and from which the seed or fruit develops"
Fifty,noun, the number 50
Enormous,adjective, very great in size or amount
Couch,noun, a long piece of furniture on which a person can sit or lie down
Breath,noun, the air that you take into your lungs and send out from your lungs when you breathe  air that is inhaled and exhaled in breathing
Beyond,adverb, on or to the farther part or side
Asleep,adjective, in a state of sleep  sleeping
Wild,adjective,of an animal  living in nature without human control or care  not tame
Wheel,noun," one of the round parts underneath a car, wagon, etc., that rolls and allows something to move"
Turning,noun,British
Trembling,verb," to shake slightly because you are afraid, nervous, excited, etc."
Thirty,noun, the number 30
Talking,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone"
Speak,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone  to talk to someone"
Someone,pronoun, some person
Romantic,adjective," of, relating to, or involving love between two people"
Remember,verb, to have or keep an image or idea in your mind of (something or someone from the past)  to think of (something or someone from the past) again
Remark,noun, something that someone says or writes to express an opinion or idea
Object,noun, a thing that you can see and touch and that is not alive
Newspaper,noun," a set of large sheets of paper that have news stories, information about local events, advertisements, etc., and that are folded together and sold every day or every week"
Murmur,noun, a low sound made when many people are speaking
Moving,adjective, changing place or position
Move,verb, to cause (something or someone) to go from one place or position to another
Mother,noun, a female parent
Lovely,adjective, attractive or beautiful especially in a graceful way
Guest,noun, a person who is invited to visit or stay in someone's home
Glass,noun, a hard usually transparent material that is used for making windows and other products
Funny,adjective, causing laughter
Forget,verb, to be unable to think of or remember (something)
Fine,adjective," good, acceptable, or satisfactory"
Finally,adverb, at the end of a period of time  after a long time
Faintly,adjective," not clearly seen, heard, tasted, felt, etc."
Eat,verb, to take food into your mouth and swallow it
Ear,noun, the part of the body that you hear with
Dust,noun, fine dry powder that builds up inside buildings on surfaces that have not recently been cleaned
Driving,adjective, falling or blowing with great force and speed
Conversation,noun, an informal talk involving two people or a small group of people  the act of talking in an informal way
