,0
Burn,95
Lived,25
Phoenix,18
Glad,140
Sorry,99
Fleet,27
Whate,27
Swift,78
Footed,12
Wide,62
Fading,6
Forbid,77
Heinous,19
Crime,17
Carve,11
Draw,220
Untainted,7
Allow,43
Pattern,17
Succeeding,10
Worst,111
Wrong,292
Ever,670
Young,486
20,2
Woman,459
Master,871
Mistress,473
Passion,118
Heart,1119
Acquainted,43
Shifting,4
False,323
Women,200
Fashion,112
Theirs,33
Rolling,6
Gilding,2
Object,43
Whereupon,17
Gazeth,2
Man,2111
Hue,27
Hues,1
Controlling,5
Steals,16
Souls,119
Amazeth,1
Wert,96
First,1369
Created,18
Till,682
Wrought,44
Fell,146
Doting,17
Addition,31
Defeated,4
Adding,9
Purpose,221
Pricked,1
21,1
Muse,31
Stirred,3
Rehearse,15
Couplement,2
Sun,260
Moon,143
Sea,288
Gems,4
Born,214
Things,351
Rare,65
Air,200
Rondure,1
Hems,2
Truly,175
Candles,7
Fixed,19
Hearsay,2
Sell,40
22,1
Persuade,34
Am,2288
Furrows,1
Expiate,2
Cover,45
Seemly,2
Raiment,8
Breast,111
Elder,44
Therefore,650
Thyself,209
Wary,11
Bearing,82
Chary,1
Nurse,220
Babe,46
Faring,2
Ill,306
Presume,22
Slain,134
Gav,17
23,1
Unperfect,1
Actor,14
Put,526
Beside,36
Part,519
Replete,9
Strength,134
Weakens,4
Trust,186
Forget,98
Perfect,61
Ceremony,30
Rite,9
Seem,237
Ercharged,3
Burthen,5
Eloquence,13
Dumb,52
Presagers,1
Speaking,50
Plead,50
Recompense,28
Expressed,4
Learn,121
Silent,39
Writ,108
Belongs,17
Fine,106
Wit,276
24,1
Played,16
Painter,54
Stelled,2
Table,61
Body,307
Wherein,141
Tis,1500
Perspective,3
Pictured,1
Shop,13
Hanging,44
Glazed,2
Turns,58
Done,716
Peep,23
Therein,63
Cunning,80
Want,159
Grace,621
25,1
Favour,157
Public,50
Titles,25
Boast,39
Whilst,124
Triumph,51
Bars,15
Favourites,6
Spread,31
Marigold,2
Pride,123
Buried,62
Frown,53
Glory,98
Painful,11
Warrior,14
Famoused,1
Fight,300
Thousand,341
Victories,5
Once,451
Foiled,1
Book,111
Razed,5
Forgot,95
Toiled,2
Remove,32
Removed,22
26,1
Lord,3205
Vassalage,2
Merit,54
Duty,160
Strongly,31
Knit,40
Send,262
Written,36
Embassage,6
Witness,130
Poor,676
Bare,68
Wanting,28
Words,444
Hope,382
Soul,480
Naked,55
Whatsoever,15
Star,56
Guides,11
Moving,23
Points,30
Graciously,6
Aspect,28
Puts,55
Apparel,40
Loving,128
Worthy,242
Respect,110
Dare,224
27,1
Toil,34
Haste,177
Bed,331
Respose,1
Limbs,47
Travel,38
Tired,19
Begins,62
Journey,30
Expired,4
Thoughts,270
Far,313
Abide,41
Intend,55
Zealous,6
Drooping,11
Eyelids,14
Open,177
Looking,46
Darkness,46
Blind,92
Imaginary,9
Presents,23
Shadow,87
Sightless,6
View,93
Jewel,65
Hung,27
Ghastly,8
Makes,392
Black,190
Thus,835
Quiet,84
28,1
Return,258
Plight,20
Debarred,1
Benefit,40
Oppression,16
Eased,3
Oppressed,7
Enemies,116
Either,191
Reign,54
Consent,103
Hands,336
Torture,33
Complain,20
Farther,41
Off,534
Please,415
Clouds,64
Blot,29
Flatter,56
Swart,4
Complexioned,1
Sparkling,8
Twire,1
Gild,14
Daily,32
Sorrows,46
Nightly,24
Grief,243
Length,44
Stronger,40
29,1
Disgrace,56
Beweep,4
Outcast,3
Trouble,79
Deaf,27
Bootless,21
Cries,74
Curse,110
Fate,50
Wishing,11
Featured,1
Friends,497
Desiring,6
Scope,29
Enjoy,63
Contented,29
These,1406
Almost,175
Despising,3
Haply,47
Think,1102
Lark,25
Break,273
Arising,1
Sullen,18
Hymns,4
Gate,64
Wealth,76
Brings,57
Scorn,115
Kings,135
30,1
Sessions,3
Summon,17
Sigh,72
Lack,119
Sought,46
Woes,60
Drown,86
Flow,52
Precious,82
Hid,51
Dateless,4
Afresh,5
Cancelled,1
Woe,162
Moan,24
Expense,19
Vanished,6
Grieve,42
Grievances,7
Foregone,4
Heavily,13
Sad,194
Account,49
Bemoaned,1
Paid,65
While,281
Friend,522
Losses,16
Restored,9
31,1
Endeared,3
Hearts,184
Lacking,7
Supposed,20
Dead,585
Reigns,15
Holy,213
Obsequious,8
Tear,90
Religious,21
Stol,52
N,138
Interest,33
Appear,155
Hidden,10
Lie,335
Trophies,6
Lovers,69
Images,12
Loved,56
32,1
Survive,12
Bones,84
Dust,65
Re,266
Survey,17
Deceased,6
Lover,71
Bett,2
Ring,279
Outstripped,1
Reserve,10
Exceeded,4
Vouchsafe,54
Grown,63
Growing,35
Dearer,26
Birth,97
Brought,220
March,138
Ranks,21
Better,631
