,0
Fixed,1
Cold,1
Important,7
Driest,1
Whose,2
Favoured,1
Pope,1
Submitted,1
Wanted,4
Leader,1
Accustomed,1
Usurpation,1
Conquest,1
Earl,2
Shiver,1
Frowning,4
Politely,6
Proceed,2
Declared,1
Him,42
Patriotic,1
Archbishop,2
Advisable,2
Reply,34
Crossly,1
Mean,15
Frog,2
Worm,1
Notice,5
Hurriedly,2
Meet,2
Offer,2
Crown,3
Conduct,1
Moderate,1
Insolence,1
Continued,9
Turning,12
Melancholy,6
Solemnly,4
Rising,1
Move,3
Meeting,1
Adjourn,1
Immediate,1
Adoption,1
Energetic,1
Remedy,1
Meaning,8
Believe,9
Bent,1
Hide,1
Smile,2
Tittered,1
Audibly,1
Race,5
Paused,1
Inclined,1
Explain,8
Winter,1
Circle,1
Exact,1
Shape,1
Placed,1
Running,8
Liked,6
Easy,2
Hour,6
Panting,2
Has,6
Pressed,3
Forehead,2
Position,2
Rest,10
Silence,11
Prizes,3
Chorus,5
Voices,3
Asked,17
Pointing,4
Calling,1
Confused,4
Despair,1
Pulled,1
Comfit,2
Luckily,1
Handed,3
Exactly,5
Piece,6
Prize,1
Gravely,3
Thimble,4
Presented,1
Acceptance,1
Elegant,1
Short,4
Speech,3
Cheered,3
Absurd,2
Grave,3
Dare,5
Laugh,1
Simply,3
Bowed,4
Solemn,3
Caused,2
Noise,3
Confusion,5
Complained,1
Ones,1
Choked,3
Patted,1
Begged,1
Promised,1
Added,23
Whisper,4
Sad,3
Tale,3
Sighing,3
Call,5
Attending,3
Humbly,2
Fifth,1
Bend,2
Angrily,9
Knot,2
Undo,1
Insult,1
Pleaded,3
Easily,3
Growled,1
Finish,5
Story,7
Joined,3
Shook,9
Impatiently,5
Quicker,1
Pity,4
Sighed,5
Daughter,1
Lose,1
Temper,5
Tongue,4
Young,5
Snappishly,1
Patience,1
Oyster,1
Addressing,1
Nobody,5
Particular,4
Venture,3
Pet,1
Sensation,2
Wrapping,1
Carefully,3
Remarking,3
Suit,3
Throat,2
Various,1
Pretext,1
Moved,5
Mentioned,3
Lonely,2
Spirited,1
Footstep,2
Executed,6
Ferret,2
Where,15
Guessed,3
Naturedly,1
Hunting,3
Nowhere,2
Since,4
Swim,4
Vanished,4
Completely,1
Doing,5
Pointed,1
Mistake,3
Housemaid,1
Neat,1
Brass,1
Plate,3
Engraved,1
Knocking,3
Upstair,1
Lest,1
Real,3
Messages,2
Fancying,1
Directly,2
Stop,5
Ordering,2
Tidy,1
Room,13
Window,8
Hoped,1
Stood,7
Nevertheless,1
Uncorked,1
Lip,1
Interesting,5
Whenever,1
Does,7
Expected,1
Drunk,2
Pressing,1
Ceiling,1
Stoop,2
Save,1
Broken,6
Kneel,1
Floor,3
Effect,3
Elbow,4
Arm,21
Curled,2
Resource,1
Chimney,6
